from	to
Jones~p6~GTSP4943~9	Jones~p6~GTSP4943~1
Jones~p6~GTSP4943~10	Jones~p6~GTSP4943~2
Jones~p6~GTSP4943~11	Jones~p6~GTSP4943~3
Jones~p6~GTSP4943~12	Jones~p6~GTSP4943~4
Jones~p6~GTSP4943~13	Jones~p6~GTSP4943~5
Jones~p6~GTSP4943~14	Jones~p6~GTSP4943~6
Jones~p6~GTSP4943~15	Jones~p6~GTSP4943~7
Jones~p6~GTSP4943~16	Jones~p6~GTSP4943~8
Jones~p7~GTSP4944~9	Jones~p7~GTSP4944~1
Jones~p7~GTSP4944~10	Jones~p7~GTSP4944~2
Jones~p7~GTSP4944~11	Jones~p7~GTSP4944~3
Jones~p7~GTSP4944~12	Jones~p7~GTSP4944~4
Jones~p7~GTSP4944~13	Jones~p7~GTSP4944~5
Jones~p7~GTSP4944~14	Jones~p7~GTSP4944~6
Jones~p7~GTSP4944~15	Jones~p7~GTSP4944~7
Jones~p7~GTSP4944~16	Jones~p7~GTSP4944~8
Jones~p8~GTSP4945~9	Jones~p8~GTSP4945~1
Jones~p8~GTSP4945~10	Jones~p8~GTSP4945~2
Jones~p8~GTSP4945~11	Jones~p8~GTSP4945~3
Jones~p8~GTSP4945~12	Jones~p8~GTSP4945~4
Jones~p8~GTSP4945~13	Jones~p8~GTSP4945~5
Jones~p8~GTSP4945~14	Jones~p8~GTSP4945~6
Jones~p8~GTSP4945~15	Jones~p8~GTSP4945~7
Jones~p8~GTSP4945~16	Jones~p8~GTSP4945~8
Jones~p9~GTSP4946~9	Jones~p9~GTSP4946~1
Jones~p9~GTSP4946~10	Jones~p9~GTSP4946~2
Jones~p9~GTSP4946~11	Jones~p9~GTSP4946~3
Jones~p9~GTSP4946~12	Jones~p9~GTSP4946~4
Jones~p9~GTSP4946~13	Jones~p9~GTSP4946~5
Jones~p9~GTSP4946~14	Jones~p9~GTSP4946~6
Jones~p9~GTSP4946~15	Jones~p9~GTSP4946~7
Jones~p9~GTSP4946~16	Jones~p9~GTSP4946~8
